Assignment 8 - Question 1 Aggregation Report

facility_name	provider_name	years_experience	facility_mean_experience	facility_std_experience	facility_zscore_experience	facility_total_service_charge
Surgical Specialty Center	Avery Martinez	33	20.778181818181817	11.35813247735185	1.0760411719258007	349909.18
Cardiology Specialty Center	Jordan Anderson	32	19.31972789115646	10.484611924077868	1.2094174014894483	276658.83
Northside Urgent Care	Cameron Miller	30	20.137014314928425	10.581438670904161	0.9321025232789828	297283.06
Emergency Medical Center	Drew Davis	28	19.66868686868687	11.023866696226115	0.7557523472381296	310735.25
Community Health Clinic	Alex Smith	9	20.16078431372549	11.04401051893677	-1.0105734954334291	334992.21
Northside Urgent Care	Quinn Miller	13	20.137014314928425	10.581438670904161	-0.6744843056694277	297283.06
Surgical Specialty Center	Sam Rodriguez	38	20.778181818181817	11.35813247735185	1.5162543856711075	349909.18
City General Hospital	Taylor Rodriguez	11	19.5630081300813	10.702137018258142	-0.8001213323537693	295508.13
Community Health Clinic	Alex Williams	15	20.16078431372549	11.04401051893677	-0.4672925931097655	334992.21
Community Health Clinic	Quinn Smith	24	20.16078431372549	11.04401051893677	0.3476287603757299	334992.21
Oncology Treatment Center	Alex Garcia	24	19.3811394891945	10.87238600488255	0.4248249196387317	334927.3
Oncology Treatment Center	Avery Martinez	20	19.3811394891945	10.87238600488255	0.05692039544287556	334927.3
Oncology Treatment Center	Morgan Miller	34	19.3811394891945	10.87238600488255	1.3445862301283722	334927.3
Cardiology Specialty Center	Cameron Garcia	30	19.31972789115646	10.484611924077868	1.0186616525420782	276658.83
Regional Medical Center	Morgan Miller	15	20.209205020920503	11.57593465333748	-0.45000297400768646	316284.98
Emergency Medical Center	Avery Davis	25	19.66868686868687	11.023866696226115	0.4836155296705683	310735.25
Northside Urgent Care	Jamie Wilson	6	20.137014314928425	10.581438670904161	-1.3360200587658322	297283.06
Surgical Specialty Center	Casey Wilson	30	20.778181818181817	11.35813247735185	0.8119132436786167	349909.18
Oncology Treatment Center	Taylor Smith	10	19.3811394891945	10.87238600488255	-0.8628409150467649	334927.3
Oncology Treatment Center	Drew Johnson	22	19.3811394891945	10.87238600488255	0.24087265754080364	334927.3
Northside Urgent Care	Drew Williams	26	20.137014314928425	10.581438670904161	0.5540820929381803	297283.06
Northside Urgent Care	Cameron Garcia	33	20.137014314928425	10.581438670904161	1.2156178460345848	297283.06
Northside Urgent Care	Taylor Miller	2	20.137014314928425	10.581438670904161	-1.7140404891066345	297283.06
Oncology Treatment Center	Jamie Jones	22	19.3811394891945	10.87238600488255	0.24087265754080364	334927.3
Surgical Specialty Center	Taylor Johnson	36	20.778181818181817	11.35813247735185	1.3401691001729847	349909.18
Northside Urgent Care	Jamie Rodriguez	19	20.137014314928425	10.581438670904161	-0.10745366015822401	297283.06
Regional Medical Center	Jamie Garcia	8	20.209205020920503	11.57593465333748	-1.0547057655858867	316284.98
Emergency Medical Center	Sam Jones	28	19.66868686868687	11.023866696226115	0.7557523472381296	310735.25
Pediatric Care Center	Riley Jones	19	19.811676082862522	10.999242478915267	-0.0737938166576876	361811.04
Oncology Treatment Center	Quinn Martinez	34	19.3811394891945	10.87238600488255	1.3445862301283722	334927.3
Regional Medical Center	Riley Jones	9	20.209205020920503	11.57593465333748	-0.9683196525032867	316284.98
Cardiology Specialty Center	Riley Garcia	26	19.31972789115646	10.484611924077868	0.6371501546473382	276658.83
Primary Care Clinic	Drew Miller	29	20.102970297029703	11.077168491755957	0.8031862754089006	323315.71
Pediatric Care Center	Riley Brown	27	19.811676082862522	10.999242478915267	0.6535289981030022	361811.04
Oncology Treatment Center	Cameron Anderson	16	19.3811394891945	10.87238600488255	-0.3109841287529806	334927.3
City General Hospital	Riley Brown	27	19.5630081300813	10.702137018258142	0.6949071813630292	295508.13
Oncology Treatment Center	Sam Williams	6	19.3811394891945	10.87238600488255	-1.230745439242621	334927.3
Primary Care Clinic	Riley Garcia	26	20.102970297029703	11.077168491755957	0.5323589423921002	323315.71
Pediatric Care Center	Alex Rodriguez	31	19.811676082862522	10.999242478915267	1.0171904054833472	361811.04
Northside Urgent Care	Jamie Wilson	11	20.137014314928425	10.581438670904161	-0.863494520839829	297283.06
Regional Medical Center	Alex Miller	9	20.209205020920503	11.57593465333748	-0.9683196525032867	316284.98
Oncology Treatment Center	Riley Miller	24	19.3811394891945	10.87238600488255	0.4248249196387317	334927.3
Pediatric Care Center	Casey Garcia	12	19.811676082862522	10.999242478915267	-0.7102012795732913	361811.04
Regional Medical Center	Taylor Wilson	24	20.209205020920503	11.57593465333748	0.3274720437357138	316284.98
City General Hospital	Casey Smith	34	19.5630081300813	10.702137018258142	1.3489821561141286	295508.13
Primary Care Clinic	Jamie Garcia	8	20.102970297029703	11.077168491755957	-1.0926050557087026	323315.71
Pediatric Care Center	Jordan Wilson	25	19.811676082862522	10.999242478915267	0.4716982944128298	361811.04
Community Health Clinic	Quinn Smith	23	20.16078431372549	11.04401051893677	0.25708194332178597	334992.21
Surgical Specialty Center	Riley Williams	14	20.778181818181817	11.35813247735185	-0.5967690403063648	349909.18
Pediatric Care Center	Drew Williams	14	19.811676082862522	10.999242478915267	-0.5283705758831188	361811.04
Oncology Treatment Center	Quinn Jones	7	19.3811394891945	10.87238600488255	-1.138769308193657	334927.3
Regional Medical Center	Casey Smith	1	20.209205020920503	11.57593465333748	-1.6594085571640869	316284.98
Primary Care Clinic	Taylor Rodriguez	3	20.102970297029703	11.077168491755957	-1.5439839440700367	323315.71
City General Hospital	Jordan Wilson	24	19.5630081300813	10.702137018258142	0.4145893350411295	295508.13
Emergency Medical Center	Quinn Johnson	29	19.66868686868687	11.023866696226115	0.8464646197606499	310735.25
Pediatric Care Center	Drew Rodriguez	4	19.811676082862522	10.999242478915267	-1.437524094333981	361811.04
Oncology Treatment Center	Avery Jones	7	19.3811394891945	10.87238600488255	-1.138769308193657	334927.3
Primary Care Clinic	Cameron Johnson	22	20.102970297029703	11.077168491755957	0.1712558317030329	323315.71
City General Hospital	Avery Miller	7	19.5630081300813	10.702137018258142	-1.1738784607829689	295508.13
Pediatric Care Center	Alex Garcia	33	19.811676082862522	10.999242478915267	1.1990211091735197	361811.04
Community Health Clinic	Taylor Williams	8	20.16078431372549	11.04401051893677	-1.101120312487373	334992.21
Pediatric Care Center	Sam Smith	31	19.811676082862522	10.999242478915267	1.0171904054833472	361811.04
Regional Medical Center	Alex Williams	15	20.209205020920503	11.57593465333748	-0.45000297400768646	316284.98
Oncology Treatment Center	Drew Davis	24	19.3811394891945	10.87238600488255	0.4248249196387317	334927.3
Cardiology Specialty Center	Jamie Wilson	6	19.31972789115646	10.484611924077868	-1.2704073348263623	276658.83
Cardiology Specialty Center	Taylor Anderson	35	19.31972789115646	10.484611924077868	1.4955510249105033	276658.83
Oncology Treatment Center	Jordan Williams	2	19.3811394891945	10.87238600488255	-1.5986499634384772	334927.3
Community Health Clinic	Sam Martinez	38	20.16078431372549	11.04401051893677	1.6152841991309448	334992.21
Cardiology Specialty Center	Avery Miller	7	19.31972789115646	10.484611924077868	-1.1750294603526772	276658.83
Northside Urgent Care	Jordan Smith	25	20.137014314928425	10.581438670904161	0.4595769853529797	297283.06
Emergency Medical Center	Sam Williams	30	19.66868686868687	11.023866696226115	0.9371768922831704	310735.25
Surgical Specialty Center	Taylor Miller	35	20.778181818181817	11.35813247735185	1.2521264574239235	349909.18
Pediatric Care Center	Cameron Garcia	17	19.811676082862522	10.999242478915267	-0.25562452034786004	361811.04
Primary Care Clinic	Alex Jones	22	20.102970297029703	11.077168491755957	0.1712558317030329	323315.71
Pediatric Care Center	Morgan Williams	2	19.811676082862522	10.999242478915267	-1.6193547980241536	361811.04
Oncology Treatment Center	Sam Smith	31	19.3811394891945	10.87238600488255	1.06865783698148	334927.3
Regional Medical Center	Morgan Williams	2	20.209205020920503	11.57593465333748	-1.5730224440814868	316284.98
Emergency Medical Center	Quinn Davis	12	19.66868686868687	11.023866696226115	-0.6956440131221969	310735.25
Surgical Specialty Center	Cameron Davis	22	20.778181818181817	11.35813247735185	0.10757210168612592	349909.18
City General Hospital	Jamie Wilson	38	19.5630081300813	10.702137018258142	1.7227392845433283	295508.13
City General Hospital	Cameron Williams	17	19.5630081300813	10.702137018258142	-0.23948563970996983	295508.13
Primary Care Clinic	Taylor Anderson	22	20.102970297029703	11.077168491755957	0.1712558317030329	323315.71
Primary Care Clinic	Jordan Johnson	34	20.102970297029703	11.077168491755957	1.2545651637702349	323315.71
Regional Medical Center	Jamie Martinez	25	20.209205020920503	11.57593465333748	0.41385815681831384	316284.98
Regional Medical Center	Cameron Jones	21	20.209205020920503	11.57593465333748	0.06831370448791373	316284.98
Primary Care Clinic	Riley Williams	14	20.102970297029703	11.077168491755957	-0.5509503896751017	323315.71
Northside Urgent Care	Drew Anderson	25	20.137014314928425	10.581438670904161	0.4595769853529797	297283.06
Pediatric Care Center	Taylor Williams	15	19.811676082862522	10.999242478915267	-0.43745522403803255	361811.04
City General Hospital	Casey Jones	21	19.5630081300813	10.702137018258142	0.13427148871922978	295508.13
Cardiology Specialty Center	Taylor Garcia	39	19.31972789115646	10.484611924077868	1.8770625228052433	276658.83
Pediatric Care Center	Cameron Anderson	39	19.811676082862522	10.999242478915267	1.744513220244037	361811.04
Surgical Specialty Center	Taylor Wilson	34	20.778181818181817	11.35813247735185	1.164083814674862	349909.18
Emergency Medical Center	Quinn Garcia	19	19.66868686868687	11.023866696226115	-0.06065810546455409	310735.25
City General Hospital	Casey Martinez	24	19.5630081300813	10.702137018258142	0.4145893350411295	295508.13
Oncology Treatment Center	Riley Jones	9	19.3811394891945	10.87238600488255	-0.9548170460957289	334927.3
Northside Urgent Care	Riley Davis	21	20.137014314928425	10.581438670904161	0.08155655501217723	297283.06
Emergency Medical Center	Drew Brown	38	19.66868686868687	11.023866696226115	1.6628750724633337	310735.25
Oncology Treatment Center	Jamie Davis	10	19.3811394891945	10.87238600488255	-0.8628409150467649	334927.3
Oncology Treatment Center	Drew Miller	28	19.3811394891945	10.87238600488255	0.7927294438345879	334927.3
City General Hospital	Drew Wilson	34	19.5630081300813	10.702137018258142	1.3489821561141286	295508.13
Surgical Specialty Center	Taylor Smith	10	20.778181818181817	11.35813247735185	-0.9489396113026102	349909.18
Cardiology Specialty Center	Taylor Rodriguez	11	19.31972789115646	10.484611924077868	-0.793517962457937	276658.83
Pediatric Care Center	Avery Smith	24	19.811676082862522	10.999242478915267	0.3807829425677436	361811.04
Primary Care Clinic	Casey Williams	38	20.102970297029703	11.077168491755957	1.615668274459302	323315.71
Regional Medical Center	Jamie Davis	5	20.209205020920503	11.57593465333748	-1.3138641048336868	316284.98
Community Health Clinic	Drew Jones	28	20.16078431372549	11.04401051893677	0.7098160285915056	334992.21
Pediatric Care Center	Riley Johnson	21	19.811676082862522	10.999242478915267	0.10803688703248487	361811.04
Primary Care Clinic	Drew Anderson	29	20.102970297029703	11.077168491755957	0.8031862754089006	323315.71
Oncology Treatment Center	Jamie Jones	13	19.3811394891945	10.87238600488255	-0.5869125218998728	334927.3
Emergency Medical Center	Alex Smith	35	19.66868686868687	11.023866696226115	1.3907382548957723	310735.25
Cardiology Specialty Center	Sam Wilson	27	19.31972789115646	10.484611924077868	0.7325280291210232	276658.83
Oncology Treatment Center	Jamie Jones	20	19.3811394891945	10.87238600488255	0.05692039544287556	334927.3
Pediatric Care Center	Taylor Martinez	26	19.811676082862522	10.999242478915267	0.562613646257916	361811.04
Surgical Specialty Center	Riley Jones	2	20.778181818181817	11.35813247735185	-1.6532807532951008	349909.18
Pediatric Care Center	Alex Jones	20	19.811676082862522	10.999242478915267	0.017121535187398635	361811.04
Community Health Clinic	Alex Smith	9	20.16078431372549	11.04401051893677	-1.0105734954334291	334992.21
Northside Urgent Care	Avery Smith	24	20.137014314928425	10.581438670904161	0.3650718777677791	297283.06
Emergency Medical Center	Morgan Williams	12	19.66868686868687	11.023866696226115	-0.6956440131221969	310735.25
Northside Urgent Care	Riley Johnson	34	20.137014314928425	10.581438670904161	1.3101229536197854	297283.06
Cardiology Specialty Center	Casey Wilson	30	19.31972789115646	10.484611924077868	1.0186616525420782	276658.83
Pediatric Care Center	Casey Smith	39	19.811676082862522	10.999242478915267	1.744513220244037	361811.04
Community Health Clinic	Alex Rodriguez	8	20.16078431372549	11.04401051893677	-1.101120312487373	334992.21
Pediatric Care Center	Avery Jones	7	19.811676082862522	10.999242478915267	-1.1647780387987223	361811.04
Primary Care Clinic	Riley Smith	30	20.102970297029703	11.077168491755957	0.8934620530811674	323315.71
Pediatric Care Center	Cameron Smith	29	19.811676082862522	10.999242478915267	0.8353597017931748	361811.04
Regional Medical Center	Alex Garcia	24	20.209205020920503	11.57593465333748	0.3274720437357138	316284.98
Oncology Treatment Center	Jamie Davis	22	19.3811394891945	10.87238600488255	0.24087265754080364	334927.3
Community Health Clinic	Riley Brown	4	20.16078431372549	11.04401051893677	-1.4633075807031488	334992.21
Surgical Specialty Center	Taylor Johnson	36	20.778181818181817	11.35813247735185	1.3401691001729847	349909.18
Cardiology Specialty Center	Alex Brown	27	19.31972789115646	10.484611924077868	0.7325280291210232	276658.83
Northside Urgent Care	Riley Jones	19	20.137014314928425	10.581438670904161	-0.10745366015822401	297283.06
Surgical Specialty Center	Sam Williams	28	20.778181818181817	11.35813247735185	0.635827958180494	349909.18
Cardiology Specialty Center	Sam Williams	6	19.31972789115646	10.484611924077868	-1.2704073348263623	276658.83
Pediatric Care Center	Jamie Jones	22	19.811676082862522	10.999242478915267	0.1989522388775711	361811.04
Pediatric Care Center	Riley Brown	10	19.811676082862522	10.999242478915267	-0.8920319832634637	361811.04
Pediatric Care Center	Alex Williams	6	19.811676082862522	10.999242478915267	-1.2556933906438086	361811.04
Primary Care Clinic	Alex Smith	9	20.102970297029703	11.077168491755957	-1.002329278036436	323315.71
City General Hospital	Quinn Wilson	25	19.5630081300813	10.702137018258142	0.5080286171484294	295508.13
Surgical Specialty Center	Avery Smith	24	20.778181818181817	11.35813247735185	0.2836573871842486	349909.18
Regional Medical Center	Casey Brown	5	20.209205020920503	11.57593465333748	-1.3138641048336868	316284.98
Community Health Clinic	Drew Williams	7	20.16078431372549	11.04401051893677	-1.1916671295413168	334992.21
Community Health Clinic	Cameron Davis	18	20.16078431372549	11.04401051893677	-0.1956521419479337	334992.21
Northside Urgent Care	Cameron Wilson	5	20.137014314928425	10.581438670904161	-1.4305251663510328	297283.06
Regional Medical Center	Taylor Anderson	35	20.209205020920503	11.57593465333748	1.2777192876443142	316284.98
Emergency Medical Center	Jamie Jones	6	19.66868686868687	11.023866696226115	-1.2399176482573193	310735.25
Primary Care Clinic	Taylor Rodriguez	22	20.102970297029703	11.077168491755957	0.1712558317030329	323315.71
Emergency Medical Center	Taylor Brown	9	19.66868686868687	11.023866696226115	-0.9677808306897582	310735.25
Regional Medical Center	Cameron Jones	21	20.209205020920503	11.57593465333748	0.06831370448791373	316284.98
Pediatric Care Center	Taylor Brown	23	19.811676082862522	10.999242478915267	0.28986759072265733	361811.04
Cardiology Specialty Center	Riley Davis	21	19.31972789115646	10.484611924077868	0.16026078227891308	276658.83
Surgical Specialty Center	Alex Smith	28	20.778181818181817	11.35813247735185	0.635827958180494	349909.18
Oncology Treatment Center	Casey Smith	34	19.3811394891945	10.87238600488255	1.3445862301283722	334927.3
Pediatric Care Center	Alex Jones	14	19.811676082862522	10.999242478915267	-0.5283705758831188	361811.04
Cardiology Specialty Center	Morgan Miller	9	19.31972789115646	10.484611924077868	-0.9842737114053072	276658.83
Primary Care Clinic	Jamie Miller	24	20.102970297029703	11.077168491755957	0.35180738704756653	323315.71
Surgical Specialty Center	Sam Williams	6	20.778181818181817	11.35813247735185	-1.3011101822988556	349909.18
Primary Care Clinic	Sam Smith	31	20.102970297029703	11.077168491755957	0.9837378307534344	323315.71
City General Hospital	Taylor Davis	9	19.5630081300813	10.702137018258142	-0.9869998965683691	295508.13
Surgical Specialty Center	Jordan Wilson	25	20.778181818181817	11.35813247735185	0.37170002993330997	349909.18
City General Hospital	Jordan Rodriguez	22	19.5630081300813	10.702137018258142	0.22771077082652968	295508.13
Regional Medical Center	Jamie Smith	21	20.209205020920503	11.57593465333748	0.06831370448791373	316284.98
Cardiology Specialty Center	Casey Wilson	2	19.31972789115646	10.484611924077868	-1.6519188327211023	276658.83
Cardiology Specialty Center	Avery Davis	36	19.31972789115646	10.484611924077868	1.5909288993841884	276658.83
Pediatric Care Center	Quinn Martinez	34	19.811676082862522	10.999242478915267	1.289936461018606	361811.04
Regional Medical Center	Riley Martinez	14	20.209205020920503	11.57593465333748	-0.5363890870902865	316284.98
City General Hospital	Riley Miller	37	19.5630081300813	10.702137018258142	1.6293000024360282	295508.13
Cardiology Specialty Center	Quinn Smith	19	19.31972789115646	10.484611924077868	-0.03049496666845696	276658.83
Community Health Clinic	Quinn Brown	14	20.16078431372549	11.04401051893677	-0.5578394101637094	334992.21
Community Health Clinic	Jamie Rodriguez	9	20.16078431372549	11.04401051893677	-1.0105734954334291	334992.21
Surgical Specialty Center	Morgan Davis	30	20.778181818181817	11.35813247735185	0.8119132436786167	349909.18
Pediatric Care Center	Riley Davis	21	19.811676082862522	10.999242478915267	0.10803688703248487	361811.04
Community Health Clinic	Avery Jones	7	20.16078431372549	11.04401051893677	-1.1916671295413168	334992.21
Regional Medical Center	Jordan Rodriguez	11	20.209205020920503	11.57593465333748	-0.7955474263380866	316284.98
Oncology Treatment Center	Avery Smith	24	19.3811394891945	10.87238600488255	0.4248249196387317	334927.3
Primary Care Clinic	Taylor Anderson	7	20.102970297029703	11.077168491755957	-1.1828808333809695	323315.71
Surgical Specialty Center	Jamie Jones	11	20.778181818181817	11.35813247735185	-0.8608969685535488	349909.18
Primary Care Clinic	Jordan Smith	20	20.102970297029703	11.077168491755957	-0.00929572364150075	323315.71
Community Health Clinic	Taylor Brown	21	20.16078431372549	11.04401051893677	0.0759883092138981	334992.21
Primary Care Clinic	Drew Martinez	19	20.102970297029703	11.077168491755957	-0.09957150131376757	323315.71
Surgical Specialty Center	Jamie Wilson	6	20.778181818181817	11.35813247735185	-1.3011101822988556	349909.18
Oncology Treatment Center	Taylor Williams	37	19.3811394891945	10.87238600488255	1.6205146232752643	334927.3
City General Hospital	Jamie Wilson	11	19.5630081300813	10.702137018258142	-0.8001213323537693	295508.13
Oncology Treatment Center	Alex Brown	11	19.3811394891945	10.87238600488255	-0.7708647839978008	334927.3
Cardiology Specialty Center	Jamie Wilson	23	19.31972789115646	10.484611924077868	0.3510165312262831	276658.83
Cardiology Specialty Center	Sam Brown	5	19.31972789115646	10.484611924077868	-1.365785209300047	276658.83
Community Health Clinic	Cameron Brown	28	20.16078431372549	11.04401051893677	0.7098160285915056	334992.21
Northside Urgent Care	Sam Martinez	12	20.137014314928425	10.581438670904161	-0.7689894132546283	297283.06
Primary Care Clinic	Taylor Brown	21	20.102970297029703	11.077168491755957	0.08098005403076607	323315.71
Oncology Treatment Center	Alex Anderson	32	19.3811394891945	10.87238600488255	1.160633968030444	334927.3
Surgical Specialty Center	Casey Smith	34	20.778181818181817	11.35813247735185	1.164083814674862	349909.18
Northside Urgent Care	Sam Wilson	27	20.137014314928425	10.581438670904161	0.6485872005233809	297283.06
Pediatric Care Center	Jordan Smith	25	19.811676082862522	10.999242478915267	0.4716982944128298	361811.04
City General Hospital	Taylor Rodriguez	11	19.5630081300813	10.702137018258142	-0.8001213323537693	295508.13
Surgical Specialty Center	Avery Brown	19	20.778181818181817	11.35813247735185	-0.1565558265610581	349909.18
City General Hospital	Cameron Smith	5	19.5630081300813	10.702137018258142	-1.3607570249975687	295508.13
Surgical Specialty Center	Quinn Miller	13	20.778181818181817	11.35813247735185	-0.6848116830554262	349909.18
Oncology Treatment Center	Quinn Jones	12	19.3811394891945	10.87238600488255	-0.6788886529488367	334927.3
Emergency Medical Center	Sam Wilson	27	19.66868686868687	11.023866696226115	0.6650400747156091	310735.25
Community Health Clinic	Alex Garcia	27	20.16078431372549	11.04401051893677	0.6192692115375616	334992.21
Cardiology Specialty Center	Quinn Williams	12	19.31972789115646	10.484611924077868	-0.6981400879842521	276658.83
Surgical Specialty Center	Riley Anderson	38	20.778181818181817	11.35813247735185	1.5162543856711075	349909.18
City General Hospital	Quinn Miller	13	19.5630081300813	10.702137018258142	-0.6132427681391694	295508.13
Northside Urgent Care	Sam Garcia	21	20.137014314928425	10.581438670904161	0.08155655501217723	297283.06
Pediatric Care Center	Casey Smith	7	19.811676082862522	10.999242478915267	-1.1647780387987223	361811.04
Emergency Medical Center	Alex Jones	3	19.66868686868687	11.023866696226115	-1.5120544658248807	310735.25
Pediatric Care Center	Cameron Anderson	35	19.811676082862522	10.999242478915267	1.3808518128636922	361811.04
Oncology Treatment Center	Jordan Johnson	25	19.3811394891945	10.87238600488255	0.5168010506876958	334927.3
Pediatric Care Center	Quinn Miller	13	19.811676082862522	10.999242478915267	-0.619285927728205	361811.04
Regional Medical Center	Avery Anderson	26	20.209205020920503	11.57593465333748	0.5002442699009139	316284.98
Emergency Medical Center	Drew Brown	38	19.66868686868687	11.023866696226115	1.6628750724633337	310735.25
Northside Urgent Care	Avery Brown	3	20.137014314928425	10.581438670904161	-1.619535381521434	297283.06
Primary Care Clinic	Quinn Smith	15	20.102970297029703	11.077168491755957	-0.4606746120028349	323315.71
Surgical Specialty Center	Jamie Rodriguez	9	20.778181818181817	11.35813247735185	-1.0369822540516715	349909.18
Pediatric Care Center	Taylor Davis	16	19.811676082862522	10.999242478915267	-0.3465398721929463	361811.04
Regional Medical Center	Alex Smith	9	20.209205020920503	11.57593465333748	-0.9683196525032867	316284.98
Northside Urgent Care	Cameron Davis	36	20.137014314928425	10.581438670904161	1.4991331687901865	297283.06
Oncology Treatment Center	Taylor Miller	2	19.3811394891945	10.87238600488255	-1.5986499634384772	334927.3
Oncology Treatment Center	Cameron Smith	14	19.3811394891945	10.87238600488255	-0.4949363908509087	334927.3
Oncology Treatment Center	Jordan Wilson	4	19.3811394891945	10.87238600488255	-1.414697701340549	334927.3
Regional Medical Center	Jordan Jones	30	20.209205020920503	11.57593465333748	0.8457887222313141	316284.98
Emergency Medical Center	Morgan Wilson	13	19.66868686868687	11.023866696226115	-0.6049317405996765	310735.25
Pediatric Care Center	Sam Martinez	38	19.811676082862522	10.999242478915267	1.6535978683989507	361811.04
Pediatric Care Center	Sam Rodriguez	38	19.811676082862522	10.999242478915267	1.6535978683989507	361811.04
Community Health Clinic	Taylor Johnson	39	20.16078431372549	11.04401051893677	1.7058310161848889	334992.21
Primary Care Clinic	Avery Garcia	27	20.102970297029703	11.077168491755957	0.622634720064367	323315.71
Primary Care Clinic	Jamie Jones	20	20.102970297029703	11.077168491755957	-0.00929572364150075	323315.71
